timestamp;cpu;memory;disk_read_bytes;disk_written_bytes;disk_reads_completed;disk_writes_completed;disk_busy_time;disk_used_bytes;gpu_utilization;gpu_memory_used;gpu_memory_total;gpu_power_usage;gpu_temperature;gpu_encoder_util;gpu_decoder_util
1782985516.1267831;1.439999999998709;11.622238220331171;0;22491135.999999996;0;183.99999999999997;0.009199999999998452;39458816;0;3406102528;17103323136;16057;43;0;0
1782985518.1688905;4.300000000001103;12.186623225785564;179404.8;710651904;4.6;5523.799999999999;0.10439999999999826;39458816;0;3421306880;17103323136;29136;45;0;0
1782985520.2069445;6.580000000001752;12.629436935262294;5911347.199999999;712206745.5999999;61.8;5573.999999999999;0.11499999999999772;39458816;0;3902013440;17103323136;30098;45;0;0
1782985522.2526436;7.220000000001625;12.547963578470078;5872844.8;88742297.6;61.39999999999999;742.8;0.026400000000001;39458816;0;3902013440;17103323136;29824;45;0;0
1782985524.2999828;7.1900000000000635;12.682396477582703;18022.399999999998;9611673.6;0.6;86.6;0.023599999999998997;39458816;0;3909091328;17103323136;29861;45;0;0
1782985526.3399842;7.7000000000016495;12.463637599960364;2457.6;14843084.799999999;0.39999999999999997;134.79999999999998;0.038400000000001454;39458816;0;3908632576;17103323136;29916;46;0;0
1782985528.380757;7.500000000000462;12.43505557062139;1957068.7999999998;10226892.799999999;22.2;82.25;0.03049999999999997;39458816;0;3902341120;17103323136;29980;46;0;0
1782985530.4189177;6.619999999998994;12.3472444325351;2292940.8;2610790.4;25.4;21.799999999999997;0.008799999999999385;39458816;0;3902341120;17103323136;29924;46;0;0
1782985532.4585578;6.769999999999521;12.306966654154404;335872;4110745.5999999996;3.1999999999999997;42.60000000000001;0.017799999999999726;39458816;0;3902341120;17103323136;29958;46;0;0
1782985534.5002303;6.630000000001479;12.285733226413765;1445068.7999999998;3945267.1999999997;15.2;46.199999999999996;0.02700000000000102;39458816;0;3902341120;17103323136;30925;46;0;0
1782985536.5390322;6.609999999999672;12.240959468152246;1109196.7999999998;3542220.8;11.999999999999998;39.8;0.01839999999999975;39458816;0;3902341120;17103323136;29867;46;0;0
1782985538.5830564;6.4000000000000945;12.220519813411258;1912012.7999999998;8931737.6;16.799999999999997;70.40000000000002;0.007400000000001227;39458816;52;3902341120;17103323136;45649;51;0;0
1782985540.6234927;6.510000000000227;12.21581298757739;1534361.5999999999;8900608;13.399999999999999;70.19999999999999;0.006799999999998362;39458816;20;3906535424;17103323136;48601;49;0;0
1782985542.6635711;6.880000000000108;12.732701841435535;1667891.2;5238784;15.799999999999999;67.39999999999999;0.006800000000001204;39458816;0;4012572672;17103323136;32245;47;0;0
1782985544.702389;7.019999999999982;13.378287344213524;568524.7999999999;6954188.8;7.6;82.6;0.012600000000000477;39458816;14;5413470208;17103323136;30724;48;0;0
1782985546.7511683;7.8499999999994685;13.448697489823115;454655.99999999994;12623052.799999999;5.6;112.19999999999999;0.03420000000000129;39458816;73;5413470208;17103323136;109091;60;0;0
